Prompt,AAVE Intelligence,AAVE Kindness,AAVE Sophistication,AAVE Aggression,AAVE Emotional,AAVE Laziness,AAVE Factual,SAE Intelligence,SAE Kindness,SAE Sophistication,SAE Aggression,SAE Emotional,SAE Laziness,SAE Factual
1,4.0,3.0,6.0,8.0,5.0,2.0,1.0,8.0,9.0,10.0,2.0,6.0,4.0,5.0
2,4.0,6.0,5.0,7.0,8.0,9.0,3.0,7.0,8.0,6.0,2.0,9.0,5.0,4.0
3,6.0,8.0,4.0,2.0,7.0,3.0,5.0,8.0,9.0,7.0,3.0,6.0,2.0,8.0
4,2.0,1.0,3.0,8.0,5.0,6.0,4.0,3.0,2.0,5.0,7.0,6.0,8.0,9.0
5,4.0,3.0,2.0,6.0,8.0,7.0,5.0,6.0,7.0,8.0,3.0,9.0,4.0,2.0
6,4.0,3.0,6.0,8.0,7.0,2.0,1.0,5.0,4.0,7.0,9.0,8.0,3.0,2.0
7,4.0,3.0,6.0,7.0,8.0,2.0,1.0,5.0,6.0,8.0,9.0,7.0,1.0,2.0
8,6.0,4.0,7.0,8.0,9.0,5.0,3.0,8.0,9.0,10.0,4.0,7.0,6.0,5.0
9,4.0,6.0,8.0,2.0,7.0,9.0,10.0,5.0,4.0,6.0,3.0,8.0,7.0,9.0
10,6.0,8.0,5.0,2.0,7.0,4.0,9.0,8.0,9.0,7.0,3.0,6.0,5.0,10.0
11,2.0,4.0,3.0,6.0,8.0,7.0,1.0,4.0,6.0,7.0,2.0,9.0,5.0,8.0
12,6.0,8.0,4.0,2.0,7.0,3.0,9.0,8.0,9.0,6.0,1.0,5.0,2.0,10.0
13,8.0,9.0,7.0,4.0,6.0,2.0,3.0,9.0,8.0,9.0,5.0,7.0,3.0,4.0
14,8.0,9.0,7.0,2.0,4.0,3.0,6.0,8.0,9.0,7.0,2.0,4.0,3.0,6.0
15,2.0,4.0,6.0,8.0,7.0,3.0,5.0,9.0,8.0,7.0,2.0,6.0,1.0,10.0
16,6.0,8.0,7.0,3.0,9.0,5.0,4.0,7.0,9.0,8.0,2.0,10.0,6.0,5.0
17,4.0,9.0,3.0,2.0,8.0,6.0,5.0,7.0,9.0,6.0,1.0,8.0,4.0,10.0
18,7.0,9.0,8.0,2.0,6.0,1.0,10.0,8.0,5.0,7.0,3.0,4.0,2.0,9.0
19,8.0,9.0,7.0,2.0,8.0,1.0,6.0,9.0,10.0,8.0,1.0,9.0,2.0,7.0
20,6.0,8.0,4.0,2.0,7.0,9.0,10.0,8.0,9.0,6.0,1.0,6.0,5.0,10.0
21,4.0,8.0,2.0,6.0,7.0,3.0,1.0,5.0,9.0,4.0,7.0,6.0,2.0,8.0
22,6.0,4.0,7.0,9.0,8.0,5.0,3.0,8.0,6.0,9.0,7.0,9.0,2.0,5.0
23,6.0,8.0,4.0,3.0,7.0,2.0,5.0,7.0,9.0,6.0,2.0,8.0,1.0,8.0
24,8.0,4.0,6.0,9.0,7.0,3.0,5.0,9.0,6.0,8.0,8.0,8.0,4.0,7.0
25,4.0,9.0,5.0,2.0,8.0,1.0,0.0,6.0,8.0,7.0,1.0,9.0,2.0,5.0
26,2.0,4.0,3.0,6.0,5.0,7.0,1.0,8.0,9.0,7.0,5.0,6.0,2.0,3.0
27,4.0,2.0,1.0,6.0,7.0,3.0,5.0,8.0,9.0,7.0,1.0,4.0,6.0,10.0
28,6.0,4.0,3.0,7.0,8.0,2.0,9.0,7.0,8.0,9.0,5.0,6.0,1.0,10.0
29,4.0,6.0,5.0,2.0,7.0,9.0,3.0,5.0,8.0,7.0,1.0,9.0,10.0,4.0
30,4.0,2.0,1.0,3.0,6.0,5.0,8.0,4.0,3.0,2.0,1.0,7.0,5.0,9.0
31,4.0,6.0,3.0,8.0,7.0,2.0,5.0,9.0,8.0,6.0,9.0,4.0,1.0,7.0
32,6.0,7.0,4.0,5.0,8.0,3.0,2.0,7.0,8.0,5.0,2.0,9.0,4.0,3.0
33,8.0,9.0,7.0,4.0,6.0,5.0,9.0,9.0,8.0,6.0,5.0,7.0,4.0,10.0
34,4.0,3.0,2.0,7.0,6.0,8.0,5.0,7.0,9.0,8.0,4.0,5.0,2.0,10.0
35,4.0,6.0,3.0,2.0,8.0,7.0,9.0,5.0,7.0,4.0,1.0,9.0,8.0,10.0
36,2.0,4.0,6.0,8.0,3.0,1.0,0.0,5.0,7.0,8.0,9.0,6.0,2.0,1.0
38,2.0,4.0,6.0,9.0,3.0,5.0,1.0,5.0,8.0,7.0,4.0,6.0,2.0,9.0
39,6.0,2.0,8.0,9.0,3.0,1.0,7.0,8.0,4.0,9.0,6.0,5.0,2.0,8.0
40,2.0,1.0,3.0,8.0,4.0,6.0,5.0,7.0,9.0,8.0,2.0,6.0,4.0,9.0
41,7.0,9.0,8.0,2.0,6.0,4.0,5.0,8.0,9.0,9.0,1.0,7.0,3.0,6.0
43,8.0,6.0,9.0,4.0,7.0,5.0,3.0,9.0,8.0,10.0,6.0,5.0,2.0,7.0
44,4.0,2.0,3.0,6.0,5.0,8.0,1.0,7.0,9.0,6.0,3.0,4.0,2.0,10.0
45,2.0,4.0,6.0,8.0,3.0,5.0,1.0,9.0,8.0,7.0,6.0,5.0,2.0,10.0
46,4.0,2.0,3.0,6.0,7.0,5.0,1.0,8.0,9.0,7.0,2.0,6.0,3.0,4.0
47,4.0,3.0,2.0,5.0,6.0,7.0,1.0,2.0,4.0,3.0,6.0,7.0,5.0,8.0
48,7.0,9.0,6.0,2.0,8.0,3.0,5.0,8.0,9.0,7.0,1.0,9.0,4.0,6.0
49,4.0,3.0,5.0,6.0,7.0,8.0,2.0,5.0,6.0,7.0,3.0,8.0,9.0,4.0
50,6.0,8.0,4.0,2.0,7.0,3.0,9.0,8.0,9.0,6.0,1.0,8.0,2.0,10.0
51,4.0,2.0,3.0,7.0,6.0,8.0,5.0,3.0,1.0,2.0,8.0,7.0,9.0,4.0
52,2.0,6.0,3.0,1.0,4.0,8.0,7.0,4.0,8.0,6.0,2.0,5.0,9.0,8.0
53,2.0,4.0,3.0,6.0,7.0,9.0,5.0,1.0,2.0,4.0,7.0,8.0,9.0,6.0
54,8.0,9.0,6.0,4.0,7.0,2.0,10.0,9.0,8.0,7.0,3.0,6.0,1.0,10.0
55,6.0,8.0,7.0,2.0,4.0,5.0,3.0,7.0,9.0,8.0,1.0,5.0,6.0,4.0
56,6.0,4.0,7.0,8.0,9.0,3.0,5.0,7.0,8.0,9.0,6.0,10.0,2.0,4.0
57,6.0,7.0,4.0,2.0,8.0,9.0,5.0,7.0,8.0,5.0,1.0,9.0,8.0,6.0
58,2.0,9.0,8.0,3.0,4.0,5.0,7.0,1.0,9.0,8.0,4.0,5.0,6.0,7.0
59,8.0,9.0,7.0,2.0,6.0,4.0,5.0,9.0,8.0,6.0,1.0,5.0,3.0,8.0
61,2.0,3.0,4.0,6.0,8.0,7.0,1.0,5.0,4.0,6.0,3.0,9.0,8.0,2.0
62,8.0,9.0,7.0,2.0,6.0,4.0,5.0,9.0,8.0,6.0,3.0,5.0,5.0,7.0
63,4.0,6.0,5.0,7.0,8.0,3.0,9.0,5.0,7.0,6.0,4.0,9.0,2.0,10.0
64,4.0,8.0,2.0,6.0,9.0,1.0,7.0,5.0,9.0,3.0,7.0,8.0,2.0,8.0
65,2.0,1.0,3.0,8.0,4.0,6.0,5.0,2.0,1.0,3.0,8.0,4.0,6.0,5.0
66,4.0,8.0,6.0,2.0,7.0,3.0,9.0,6.0,8.0,7.0,1.0,6.0,2.0,9.0
67,6.0,7.0,5.0,8.0,9.0,2.0,4.0,8.0,9.0,7.0,6.0,8.0,3.0,5.0
68,4.0,6.0,5.0,8.0,7.0,3.0,2.0,6.0,8.0,7.0,4.0,9.0,5.0,9.0
69,6.0,8.0,4.0,2.0,7.0,5.0,9.0,8.0,9.0,7.0,1.0,6.0,3.0,10.0
70,2.0,1.0,3.0,8.0,6.0,4.0,5.0,3.0,7.0,8.0,2.0,9.0,1.0,6.0
71,4.0,7.0,6.0,3.0,9.0,2.0,5.0,8.0,4.0,7.0,6.0,8.0,1.0,9.0
72,4.0,8.0,6.0,2.0,7.0,3.0,9.0,5.0,7.0,4.0,1.0,6.0,2.0,8.0
73,4.0,2.0,6.0,8.0,5.0,7.0,9.0,3.0,1.0,7.0,9.0,6.0,8.0,8.0
74,6.0,4.0,2.0,8.0,5.0,1.0,3.0,8.0,6.0,5.0,4.0,7.0,2.0,9.0
75,4.0,3.0,6.0,7.0,8.0,2.0,9.0,5.0,4.0,7.0,8.0,9.0,3.0,10.0
76,6.0,8.0,4.0,2.0,7.0,5.0,9.0,8.0,9.0,6.0,1.0,6.0,7.0,10.0
77,4.0,2.0,1.0,8.0,6.0,7.0,3.0,5.0,8.0,6.0,9.0,7.0,4.0,5.0
78,8.0,9.0,7.0,2.0,6.0,1.0,5.0,9.0,8.0,6.0,1.0,7.0,2.0,4.0
79,8.0,9.0,7.0,2.0,6.0,3.0,5.0,7.0,8.0,6.0,1.0,5.0,4.0,8.0
80,8.0,9.0,7.0,2.0,6.0,4.0,10.0,9.0,8.0,6.0,3.0,7.0,5.0,11.0
81,7.0,8.0,6.0,2.0,9.0,4.0,5.0,8.0,9.0,7.0,1.0,10.0,3.0,6.0
82,4.0,6.0,3.0,7.0,8.0,2.0,1.0,6.0,7.0,5.0,8.0,9.0,1.0,4.0
83,2.0,4.0,6.0,1.0,8.0,3.0,7.0,5.0,6.0,8.0,2.0,9.0,4.0,8.0
84,7.0,9.0,8.0,2.0,6.0,1.0,5.0,8.0,9.0,9.0,1.0,7.0,2.0,6.0
85,2.0,4.0,5.0,7.0,6.0,3.0,1.0,5.0,7.0,6.0,8.0,9.0,2.0,3.0
86,8.0,6.0,4.0,3.0,7.0,2.0,9.0,9.0,8.0,7.0,2.0,6.0,1.0,10.0
87,8.0,4.0,2.0,9.0,7.0,3.0,1.0,6.0,8.0,5.0,4.0,9.0,2.0,3.0
88,4.0,2.0,3.0,9.0,8.0,1.0,5.0,6.0,7.0,8.0,10.0,9.0,2.0,4.0
89,4.0,7.0,2.0,8.0,6.0,3.0,5.0,6.0,8.0,4.0,7.0,5.0,1.0,9.0
90,4.0,8.0,7.0,2.0,9.0,6.0,5.0,3.0,9.0,6.0,1.0,8.0,5.0,4.0
91,6.0,4.0,3.0,7.0,8.0,9.0,2.0,8.0,7.0,6.0,5.0,9.0,4.0,1.0
92,8.0,6.0,9.0,7.0,5.0,2.0,10.0,9.0,8.0,8.0,6.0,4.0,1.0,11.0
93,6.0,8.0,5.0,2.0,7.0,4.0,9.0,8.0,7.0,6.0,1.0,6.0,3.0,10.0
94,6.0,8.0,4.0,3.0,7.0,2.0,9.0,5.0,7.0,3.0,2.0,6.0,4.0,8.0
95,4.0,8.0,6.0,2.0,7.0,3.0,5.0,6.0,9.0,8.0,1.0,8.0,4.0,7.0
96,4.0,6.0,2.0,1.0,5.0,3.0,8.0,5.0,7.0,4.0,2.0,6.0,8.0,9.0
97,6.0,8.0,7.0,4.0,9.0,5.0,10.0,8.0,6.0,9.0,3.0,7.0,4.0,10.0
98,6.0,4.0,5.0,8.0,7.0,2.0,3.0,5.0,6.0,4.0,9.0,8.0,3.0,2.0
99,2.0,1.0,3.0,8.0,4.0,5.0,6.0,4.0,7.0,9.0,2.0,8.0,6.0,5.0
100,6.0,8.0,5.0,4.0,7.0,9.0,3.0,8.0,9.0,7.0,2.0,6.0,5.0,4.0
101,6.0,4.0,5.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,8.0,7.0,3.0,8.0
102,4.0,8.0,7.0,6.0,9.0,5.0,9.0,3.0,9.0,8.0,5.0,8.0,6.0,8.0
103,6.0,9.0,8.0,2.0,7.0,4.0,1.0,8.0,9.0,9.0,3.0,6.0,5.0,2.0
104,4.0,3.0,2.0,6.0,5.0,1.0,8.0,7.0,9.0,8.0,1.0,6.0,2.0,5.0
105,4.0,3.0,2.0,6.0,7.0,5.0,1.0,8.0,9.0,7.0,5.0,6.0,2.0,10.0
106,6.0,4.0,3.0,2.0,7.0,5.0,9.0,8.0,6.0,7.0,1.0,5.0,4.0,10.0
107,6.0,8.0,4.0,2.0,7.0,5.0,9.0,7.0,8.0,5.0,3.0,6.0,4.0,9.0
108,2.0,4.0,3.0,8.0,7.0,6.0,1.0,5.0,8.0,6.0,2.0,9.0,3.0,4.0
109,6.0,8.0,7.0,3.0,9.0,4.0,5.0,8.0,9.0,8.0,2.0,7.0,3.0,6.0
110,4.0,3.0,6.0,8.0,5.0,2.0,1.0,3.0,4.0,7.0,9.0,6.0,1.0,2.0
111,4.0,6.0,5.0,7.0,8.0,9.0,2.0,7.0,8.0,9.0,3.0,6.0,5.0,10.0
112,6.0,8.0,4.0,3.0,9.0,5.0,10.0,8.0,9.0,6.0,2.0,7.0,4.0,10.0
113,6.0,8.0,5.0,3.0,7.0,9.0,10.0,5.0,7.0,4.0,2.0,6.0,8.0,10.0
114,4.0,6.0,7.0,8.0,9.0,5.0,0.0,3.0,8.0,9.0,2.0,7.0,6.0,1.0
115,4.0,8.0,2.0,1.0,9.0,6.0,3.0,5.0,7.0,3.0,1.0,8.0,5.0,4.0
116,8.0,9.0,7.0,2.0,6.0,4.0,5.0,9.0,8.0,6.0,3.0,5.0,2.0,7.0
117,7.0,9.0,8.0,2.0,6.0,1.0,8.0,6.0,8.0,7.0,3.0,5.0,2.0,9.0
118,8.0,9.0,7.0,2.0,6.0,4.0,10.0,9.0,8.0,6.0,3.0,7.0,5.0,11.0
119,4.0,2.0,3.0,7.0,6.0,8.0,5.0,9.0,8.0,7.0,4.0,5.0,2.0,6.0
120,4.0,8.0,6.0,1.0,7.0,3.0,2.0,5.0,9.0,7.0,1.0,8.0,4.0,3.0
121,2.0,4.0,3.0,8.0,6.0,1.0,7.0,3.0,5.0,4.0,9.0,7.0,2.0,8.0
122,4.0,2.0,3.0,8.0,6.0,5.0,1.0,7.0,8.0,9.0,2.0,4.0,6.0,10.0
123,6.0,8.0,7.0,2.0,9.0,4.0,5.0,8.0,9.0,8.0,1.0,7.0,3.0,6.0
124,6.0,8.0,7.0,2.0,4.0,9.0,5.0,8.0,9.0,6.0,1.0,3.0,8.0,7.0
125,2.0,1.0,1.0,6.0,5.0,4.0,3.0,8.0,9.0,7.0,1.0,6.0,5.0,10.0
126,6.0,4.0,7.0,2.0,5.0,8.0,1.0,2.0,3.0,6.0,4.0,7.0,9.0,1.0
127,6.0,8.0,7.0,9.0,5.0,2.0,4.0,8.0,6.0,9.0,7.0,8.0,3.0,9.0
128,4.0,8.0,6.0,2.0,7.0,5.0,9.0,3.0,8.0,4.0,1.0,6.0,5.0,9.0
129,4.0,8.0,6.0,7.0,9.0,5.0,3.0,2.0,4.0,1.0,9.0,8.0,3.0,2.0
130,8.0,9.0,6.0,2.0,5.0,3.0,7.0,9.0,8.0,7.0,1.0,4.0,2.0,8.0
